text,label,source_id
"어떤 사람이 절망감이라는 감정을 느끼고, 그 원인을 찾기 위해 인터넷 검색을 시도했습니다. 검색 결과, 그러한 감정이 특정 건강 문제와 관련될 수 있다는 정보를 얻고, 자신의 건강에 대한 걱정이 커졌습니다. 곧 건강 검진을 받을 예정입니다.",mild,dsl_00000001
"한 기관에서 STEM 전공 학생들을 대상으로 홍보 활동 개선을 위한 설문조사를 진행하고 있으며, 참여자 중 추첨을 통해 상품을 제공합니다.",minimum,dsl_00000002
"어머니가 갑자기 신문지로 때린 일과, 친구가 어깨를 때리고 운전 중 사고 위험이 있었던 일, 그리고 또 다른 친구가 부적절한 행동을 한 상황에 대해 이야기하고 있습니다.",minimum,dsl_00000003
"새로운 남자친구와 교제 중이지만, 이전 남자친구와의 관계에서 느꼈던 강렬한 감정이 없고, 그를 원하지 않음에도 불구하고 관계를 이어갔으며, 현재 남자친구에게도 사랑하는 감정을 느끼지 못하고, 이전 남자친구와의 좋은 기억들이 떠오르며 혼란스러워하고, 그의 행복한 모습을 보며 배신감과 상처를 느끼고 있다.",mild,dsl_00000004
"10월은 가정폭력 인식을 위한 달입니다. 작성자는 가정폭력 피해자이며, 오랜 시간이 지났음에도 여전히 어려움을 겪고 있습니다. 학대적인 전 남자친구에 대한 분노를 느끼고 있으며, 신체적, 정신적, 경제적 학대를 당했습니다. 접근 금지 명령을 받았지만, 증거 부족으로 형사 고소를 하지 못했습니다.",moderate,dsl_00000005
"상대방과의 관계에서 노력 부족과 불안정한 감정으로 어려움을 겪고 있습니다. 상대방은 관계를 지속하면서도 독립적인 모습을 보이고 있어, 관계의 지속 가능성에 대한 고민과 함께 이용당하고 있다는 불안감을 느끼고 있습니다.",mild,dsl_00000006
"한 회사에서 일하던 중, 직장 동료가 자신을 무시하는 듯한 태도를 보였습니다. 임신 소식을 전하고 관계 개선을 시도했지만, 상대방은 무응답으로 일관했습니다. 아이가 태어난 후, 상대방에게 메시지를 보내고, 결국 만나게 되었고, 화해 후 약혼에 이르렀습니다.",minimum,dsl_00000007
"최근 며칠 동안 수면 장애를 겪고 있으며, 뇌 기능에 대한 생각으로 인해 불안감을 느꼈습니다. 이러한 생각은 수면을 방해하고, 불안감을 증폭시키는 경향이 있습니다. 하지만 이성적으로 생각하려고 노력하면 불안감을 어느 정도 진정시킬 수 있습니다.",moderate,dsl_00000008
"의료인은 밤늦은 시간의 응급 진료 시 안전 문제로 인해 조수에게 수수료의 일부를 지불하거나, 남편에게 동행을 부탁하는 경우가 있습니다. 하지만 이러한 상황은 남편에게 부담을 줄 수 있습니다. 또한, 시골에 거주하는 부부는 고립감과 사회생활 부재로 어려움을 겪고 있습니다.",severe,dsl_00000009
"거리 생활로 인해 정신적으로 어려움을 겪고 있으며, 속마음을 털어놓을 사람이 부족하다. 군 복무 시절의 트라우마로 고통받는 친구와 가끔 만나 이야기를 나누며 위로를 받고 있다.",mild,dsl_00000010
"가족 휴가로 비행기를 타야 하는데, 비행 자체에 대한 불안감과 테러나 총격에 대한 두려움 때문에 어려움을 겪고 있습니다. 비행 불안을 줄일 수 있는 방법에 대한 조언을 구하고 있습니다.",minimum,dsl_00000011
"화자는 최근에 감정 기복이 심하고 불안감을 느끼고 있습니다. 부모님과의 관계에서 어려움을 겪고 있으며, 특히 한 부모님과의 관계에서 갈등이 있습니다. 상대방이 예민하게 반응할 때, 화자는 최대한 이해하고 맞춰주려고 노력하지만, 감정적으로 힘든 상황입니다. 소중한 관계를 유지하고 싶지만, 어려움을 겪고 있습니다.",mild,dsl_00000012
"약 복용을 중단한 후, 몸 떨림과 얼굴 붉어짐 등의 부작용이 나타나 걱정하고 있습니다. 약 복용 중단과 부작용 사이의 연관성을 문의하고 있습니다.",moderate,dsl_00000013
